Year,Country of Stay/Residence,Origin,OBS_VALUE
1978,United Arab Emirates,Australia,110
1978,United States of America,Australia,80980
1978,Vanuatu,Australia,1100
1978,Vietnam,Australia,70
1979,Argentina,Australia,1070
1979,Austria,Australia,2570
1979,Bangladesh,Australia,220
1979,Belgium,Australia,1360
1979,Brazil,Australia,870
1979,Cambodia,Australia,0
1979,Canada,Australia,23230
1979,Chile,Australia,860
1979,China,Australia,1000
1979,Colombia,Australia,130
1979,Denmark,Australia,2160
1979,Fiji,Australia,8020
1979,Finland,Australia,740
1979,France,Australia,7480
1979,Germany,Australia,28800
1979,Hong Kong,Australia,11390
1979,India,Australia,4100
1979,Indonesia,Australia,8900
1979,Iran,Australia,710
1979,Ireland,Australia,2990
1979,Israel,Australia,2110
1979,Italy,Australia,10640
1979,Japan,Australia,41650
1979,Malaysia,Australia,10420
1979,Mexico,Australia,720
1979,Nepal,Australia,40
1979,Netherlands,Australia,16270
1979,New Caledonia,Australia,9440
1979,New Zealand,Australia,274420
1979,Norway,Australia,1280
1979,Pakistan,Australia,650
1979,Papua New Guinea,Australia,23690
1979,Philippines,Australia,4230
1979,Poland,Australia,1280
1979,Saudi Arabia,Australia,750
1979,Singapore,Australia,12580
1979,South Africa,Australia,9350
1979,South Korea,Australia,1920
1979,Spain,Australia,1220
1979,Sri Lanka,Australia,850
1979,Sweden,Australia,3750
1979,Switzerland,Australia,6630
1979,Taiwan,Australia,2670
1979,Thailand,Australia,3480
1979,United Arab Emirates,Australia,140
1979,United States of America,Australia,97020
1979,Vanuatu,Australia,1350
1979,Vietnam,Australia,140
1980,Argentina,Australia,1210
1980,Austria,Australia,3310
1980,Bangladesh,Australia,310
1980,Belgium,Australia,1660
1980,Brazil,Australia,1050
1980,Cambodia,Australia,0
1980,Canada,Australia,28490
1980,Chile,Australia,850
1980,China,Australia,1470
1980,Colombia,Australia,370
1980,Denmark,Australia,2690
1980,Fiji,Australia,9650
1980,Finland,Australia,780
1980,France,Australia,8120
1980,Germany,Australia,35370
1980,Hong Kong,Australia,14920
1980,India,Australia,4250
1980,Indonesia,Australia,12670
1980,Iran,Australia,410
1980,Ireland,Australia,3050
1980,Israel,Australia,2130
1980,Italy,Australia,12270
1980,Japan,Australia,48810
1980,Malaysia,Australia,16400
1980,Mexico,Australia,920
1980,Nepal,Australia,80
1980,Netherlands,Australia,18270
1980,New Caledonia,Australia,9540
1980,New Zealand,Australia,307120
1980,Norway,Australia,1370
1980,Pakistan,Australia,620
1980,Papua New Guinea,Australia,24340
1980,Philippines,Australia,4900
1980,Poland,Australia,1390
1980,Saudi Arabia,Australia,960
1980,Singapore,Australia,16430
1980,South Africa,Australia,9380
1980,South Korea,Australia,1590
1980,Spain,Australia,1110
1980,Sri Lanka,Australia,950
1980,Sweden,Australia,4520
1980,Switzerland,Australia,7730
1980,Taiwan,Australia,3590
1980,Thailand,Australia,4430
1980,United Arab Emirates,Australia,90
1980,United States of America,Australia,111380
1980,Vanuatu,Australia,1140
1980,Vietnam,Australia,50
1981,Argentina,Australia,1780
1981,Austria,Australia,3230
1981,Bangladesh,Australia,350
1981,Belgium,Australia,2040
1981,Brazil,Australia,1120
1981,Canada,Australia,30930
1981,Chile,Australia,860
1981,China,Australia,1710
1981,Colombia,Australia,380
1981,Denmark,Australia,2980
1981,Fiji,Australia,10630
1981,Finland,Australia,1050
1981,France,Australia,8370
1981,Germany,Australia,39040
1981,Hong Kong,Australia,17100
1981,India,Australia,4810
1981,Indonesia,Australia,15090
1981,Iran,Australia,170
1981,Ireland,Australia,3780
1981,Israel,Australia,1920
1981,Italy,Australia,12160
1981,Japan,Australia,53700
1981,Malaysia,Australia,20040
1981,Mexico,Australia,1030
1981,Nepal,Australia,170
1981,Netherlands,Australia,18010
1981,New Caledonia,Australia,8250
1981,New Zealand,Australia,284380
1981,Norway,Australia,1530
1981,Pakistan,Australia,550
1981,Papua New Guinea,Australia,24660
1981,Philippines,Australia,6980
1981,Poland,Australia,1610
1981,Saudi Arabia,Australia,1470
1981,Singapore,Australia,19630
1981,South Africa,Australia,11910
1981,South Korea,Australia,2210
1981,Spain,Australia,1200
1981,Sri Lanka,Australia,1210
1981,Sweden,Australia,5520
1981,Switzerland,Australia,9110
1981,Taiwan,Australia,3880
1981,Thailand,Australia,5520
1981,United Arab Emirates,Australia,130
1981,United States of America,Australia,113950
1981,Vanuatu,Australia,850
1981,Vietnam,Australia,20
1982,Argentina,Australia,730
1982,Austria,Australia,3730
1982,Bangladesh,Australia,380
1982,Belgium,Australia,2030
1982,Brazil,Australia,1010
1982,Canada,Australia,32450
1982,Chile,Australia,810
1982,China,Australia,2160
1982,Colombia,Australia,320
1982,Denmark,Australia,3340
1982,Fiji,Australia,12010
1982,Finland,Australia,1130
1982,France,Australia,10250
1982,Germany,Australia,38890
1982,Hong Kong,Australia,20470
1982,India,Australia,5410
1982,Indonesia,Australia,15580
1982,Iran,Australia,120
1982,Ireland,Australia,4620
1982,Israel,Australia,2190
1982,Italy,Australia,12090
1982,Japan,Australia,60390
1982,Malaysia,Australia,22940
1982,Mexico,Australia,570
1982,Nepal,Australia,120
1982,Netherlands,Australia,16760
1982,New Caledonia,Australia,8980
1982,New Zealand,Australia,233260
1982,Norway,Australia,1580
1982,Pakistan,Australia,760
1982,Papua New Guinea,Australia,25470
1982,Philippines,Australia,7040
1982,Poland,Australia,640
1982,Saudi Arabia,Australia,1690
1982,Singapore,Australia,24390
1982,South Africa,Australia,11510
1982,South Korea,Australia,2700
1982,Spain,Australia,1510
1982,Sri Lanka,Australia,1340
1982,Sweden,Australia,6010
1982,Switzerland,Australia,10760
1982,Taiwan,Australia,3940
1982,Thailand,Australia,5360
1982,United Arab Emirates,Australia,430
1982,United States of America,Australia,125980
1982,Vanuatu,Australia,1170
1982,Vietnam,Australia,40
1983,Argentina,Australia,570
1983,Austria,Australia,3510
1983,Bangladesh,Australia,210
1983,Belgium,Australia,1900
1983,Brazil,Australia,960
1983,Cambodia,Australia,0
1983,Canada,Australia,33020
1983,Chile,Australia,710
1983,China,Australia,2290
1983,Colombia,Australia,180
1983,Denmark,Australia,3680
1983,Fiji,Australia,9440
1983,Finland,Australia,1140
1983,France,Australia,9990
1983,Germany,Australia,34610
1983,Hong Kong,Australia,20850
1983,India,Australia,5410
1983,Indonesia,Australia,13300
1983,Iran,Australia,580
1983,Ireland,Australia,5000
1983,Israel,Australia,2480
1983,Italy,Australia,12040
1983,Japan,Australia,71790
1983,Malaysia,Australia,27740
1983,Mexico,Australia,480
1983,Nepal,Australia,180
1983,Netherlands,Australia,14850
1983,New Caledonia,Australia,8490
1983,New Zealand,Australia,225000
1983,Norway,Australia,1590
1983,Pakistan,Australia,720
1983,Papua New Guinea,Australia,22990
1983,Philippines,Australia,6700
1983,Poland,Australia,1030
1983,Saudi Arabia,Australia,2290
1983,Singapore,Australia,29730
1983,South Africa,Australia,11360
1983,South Korea,Australia,2320
1983,Spain,Australia,1470
1983,Sri Lanka,Australia,1230
1983,Sweden,Australia,6080
1983,Switzerland,Australia,11590
1983,Taiwan,Australia,5590
1983,Thailand,Australia,4980
1983,United Arab Emirates,Australia,530
1983,United States of America,Australia,140370
1983,Vanuatu,Australia,1630
1983,Vietnam,Australia,20
1984,Argentina,Australia,760
1984,Austria,Australia,3540
1984,Bangladesh,Australia,320
1984,Belgium,Australia,2180
1984,Brazil,Australia,850
1984,Cambodia,Australia,0
1984,Canada,Australia,34510
1984,Chile,Australia,770
1984,China,Australia,3010
1984,Colombia,Australia,150
1984,Denmark,Australia,4270
1984,Fiji,Australia,9730
1984,Finland,Australia,1670
1984,France,Australia,11180
1984,Germany,Australia,34210
1984,Hong Kong,Australia,21160
1984,India,Australia,5920
1984,Indonesia,Australia,14210
1984,Iran,Australia,1410
1984,Ireland,Australia,4050
1984,Israel,Australia,2570
1984,Italy,Australia,13380
1984,Japan,Australia,87880
1984,Malaysia,Australia,29260
1984,Mexico,Australia,690
1984,Nepal,Australia,120
1984,Netherlands,Australia,14120
1984,New Caledonia,Australia,7370
1984,New Zealand,Australia,234440
1984,Norway,Australia,2040
1984,Pakistan,Australia,710
1984,Papua New Guinea,Australia,23770
1984,Philippines,Australia,8290
1984,Poland,Australia,2020
1984,Saudi Arabia,Australia,2520
1984,Singapore,Australia,33010
1984,South Africa,Australia,10590
1984,South Korea,Australia,2980
1984,Spain,Australia,1420
1984,Sri Lanka,Australia,1460
1984,Sweden,Australia,7550
1984,Switzerland,Australia,12530
1984,Taiwan,Australia,7280
1984,Thailand,Australia,5430
1984,United Arab Emirates,Australia,900
1984,United States of America,Australia,161310
1984,Vanuatu,Australia,2130
1984,Vietnam,Australia,70
1985,Argentina,Australia,1520
1985,Austria,Australia,4220
1985,Bangladesh,Australia,300
1985,Belgium,Australia,2250
1985,Brazil,Australia,1180
1985,Cambodia,Australia,0
1985,Canada,Australia,40940
1985,Chile,Australia,820
1985,China,Australia,5280
1985,Colombia,Australia,160
1985,Denmark,Australia,5140
1985,Fiji,Australia,12400
1985,Finland,Australia,2130
1985,France,Australia,12040
1985,Germany,Australia,37320
1985,Hong Kong,Australia,24060
1985,India,Australia,6930
1985,Indonesia,Australia,15250
1985,Iran,Australia,690
1985,Ireland,Australia,5460
1985,Israel,Australia,2950
1985,Italy,Australia,14510
1985,Japan,Australia,107570
1985,Malaysia,Australia,32890
1985,Mexico,Australia,790
1985,Nepal,Australia,260
1985,Netherlands,Australia,15370
1985,New Caledonia,Australia,8220
1985,New Zealand,Australia,245310
1985,Norway,Australia,2380
1985,Pakistan,Australia,980
1985,Papua New Guinea,Australia,27690
