AIRPORT,Year,Month,Dom_Acm_Out,Int_Acm_Out,Acm_Out
ADELAIDE,1985,1,1902,34,1936
ADELAIDE,1985,2,1668,31,1699
ADELAIDE,1985,3,1878,40,1918
ADELAIDE,1985,4,1804,29,1833
ADELAIDE,1985,5,2033,30,2063
ADELAIDE,1985,6,1787,32,1819
ADELAIDE,1985,7,1911,29,1940
ADELAIDE,1985,8,2119,34,2153
ADELAIDE,1985,9,2000,29,2029
ADELAIDE,1985,10,2089,35,2124
ADELAIDE,1985,11,2228,55,2283
ADELAIDE,1985,12,2079,65,2144
ADELAIDE,1986,1,1997,71,2068
ADELAIDE,1986,2,1887,62,1949
ADELAIDE,1986,3,2161,71,2232
ADELAIDE,1986,4,2182,68,2250
ADELAIDE,1986,5,2432,70,2502
ADELAIDE,1986,6,2391,67,2458
ADELAIDE,1986,7,2528,70,2598
ADELAIDE,1986,8,2550,69,2619
ADELAIDE,1986,9,2557,69,2626
ADELAIDE,1986,10,1900,73,1973
ADELAIDE,1986,11,1770,70,1840
ADELAIDE,1986,12,1975,77,2052
ADELAIDE,1987,1,1771,71,1842
ADELAIDE,1987,2,1748,66,1814
ADELAIDE,1987,3,2052,75,2127
ADELAIDE,1987,4,1925,64,1989
ADELAIDE,1987,5,1891,64,1955
ADELAIDE,1987,6,1822,67,1889
ADELAIDE,1987,7,1952,68,2020
ADELAIDE,1987,8,1957,63,2020
ADELAIDE,1987,9,1808,69,1877
ADELAIDE,1987,10,1995,73,2068
ADELAIDE,1987,11,2027,67,2094
ADELAIDE,1987,12,1981,72,2053
ADELAIDE,1988,1,1828,74,1902
ADELAIDE,1988,2,1825,68,1893
ADELAIDE,1988,3,2013,70,2083
ADELAIDE,1988,4,1868,64,1932
ADELAIDE,1988,5,1907,67,1974
ADELAIDE,1988,6,1849,68,1917
ADELAIDE,1988,7,2123,65,2188
ADELAIDE,1988,8,2064,65,2129
ADELAIDE,1988,9,2118,66,2184
ADELAIDE,1988,10,2025,66,2091
ADELAIDE,1988,11,2108,69,2177
ADELAIDE,1988,12,1891,71,1962
ADELAIDE,1989,1,1880,72,1952
ADELAIDE,1989,2,1813,62,1875
ADELAIDE,1989,3,2046,69,2115
ADELAIDE,1989,4,1952,83,2035
ADELAIDE,1989,5,1981,83,2064
ADELAIDE,1989,6,1961,78,2039
ADELAIDE,1989,7,2176,88,2264
ADELAIDE,1989,8,1827,90,1917
ADELAIDE,1989,9,1309,85,1394
ADELAIDE,1989,10,1534,93,1627
ADELAIDE,1989,11,1714,88,1802
ADELAIDE,1989,12,1533,89,1622
ADELAIDE,1990,1,1500,93,1593
ADELAIDE,1990,2,1551,84,1635
ADELAIDE,1990,3,1672,93,1765
ADELAIDE,1990,4,1662,90,1752
ADELAIDE,1990,5,1756,94,1850
ADELAIDE,1990,6,1680,90,1770
ADELAIDE,1990,7,1826,92,1918
ADELAIDE,1990,8,1866,91,1957
ADELAIDE,1990,9,1908,92,2000
ADELAIDE,1990,10,2178,99,2277
ADELAIDE,1990,11,2063,88,2151
ADELAIDE,1990,12,1988,95,2083
ADELAIDE,1991,1,2014,100,2114
ADELAIDE,1991,2,1888,86,1974
ADELAIDE,1991,3,2117,92,2209
ADELAIDE,1991,4,2104,87,2191
ADELAIDE,1991,5,2044,88,2132
ADELAIDE,1991,6,2023,102,2125
ADELAIDE,1991,7,2229,104,2333
ADELAIDE,1991,8,2194,108,2302
ADELAIDE,1991,9,2140,97,2237
ADELAIDE,1991,10,2329,96,2425
ADELAIDE,1991,11,2352,99,2451
ADELAIDE,1991,12,2300,100,2400
ADELAIDE,1992,1,2082,99,2181
ADELAIDE,1992,2,2039,97,2136
ADELAIDE,1992,3,2307,102,2409
ADELAIDE,1992,4,2224,100,2324
ADELAIDE,1992,5,2278,97,2375
ADELAIDE,1992,6,2211,98,2309
ADELAIDE,1992,7,2356,102,2458
ADELAIDE,1992,8,2378,102,2480
ADELAIDE,1992,9,2417,99,2516
ADELAIDE,1992,10,2450,106,2556
ADELAIDE,1992,11,2457,91,2548
ADELAIDE,1992,12,2393,92,2485
ADELAIDE,1993,1,2182,93,2275
ADELAIDE,1993,2,2158,84,2242
ADELAIDE,1993,3,2439,90,2529
ADELAIDE,1993,4,2275,98,2373
ADELAIDE,1993,5,2301,94,2395
ADELAIDE,1993,6,2309,93,2402
ADELAIDE,1993,7,2390,101,2491
ADELAIDE,1993,8,2412,96,2508
ADELAIDE,1993,9,2424,95,2519
ADELAIDE,1993,10,2453,99,2552
ADELAIDE,1993,11,2440,92,2532
ADELAIDE,1993,12,2365,99,2464
ADELAIDE,1994,1,2265,99,2364
ADELAIDE,1994,2,2186,89,2275
ADELAIDE,1994,3,2552,98,2650
ADELAIDE,1994,4,2367,93,2460
ADELAIDE,1994,5,2485,96,2581
ADELAIDE,1994,6,2300,95,2395
ADELAIDE,1994,7,2523,97,2620
ADELAIDE,1994,8,2603,95,2698
ADELAIDE,1994,9,2517,95,2612
ADELAIDE,1994,10,2593,95,2688
ADELAIDE,1994,11,2599,96,2695
ADELAIDE,1994,12,2482,98,2580
ADELAIDE,1995,1,2405,96,2501
ADELAIDE,1995,2,2354,89,2443
ADELAIDE,1995,3,2650,96,2746
ADELAIDE,1995,4,2499,87,2586
ADELAIDE,1995,5,2694,86,2780
ADELAIDE,1995,6,2556,88,2644
ADELAIDE,1995,7,2750,88,2838
ADELAIDE,1995,8,2848,90,2938
ADELAIDE,1995,9,2722,84,2806
ADELAIDE,1995,10,2860,88,2948
ADELAIDE,1995,11,2724,88,2812
ADELAIDE,1995,12,2575,88,2663
ADELAIDE,1996,1,2590,92,2682
ADELAIDE,1996,2,2557,91,2648
ADELAIDE,1996,3,2727,90,2817
ADELAIDE,1996,4,2681,90,2771
ADELAIDE,1996,5,2740,90,2830
ADELAIDE,1996,6,2580,90,2670
ADELAIDE,1996,7,2863,92,2955
ADELAIDE,1996,8,2893,90,2983
ADELAIDE,1996,9,2775,91,2866
ADELAIDE,1996,10,2951,89,3040
ADELAIDE,1996,11,2857,84,2941
ADELAIDE,1996,12,2684,91,2775
ADELAIDE,1997,1,2599,89,2688
ADELAIDE,1997,2,2581,81,2662
ADELAIDE,1997,3,2815,91,2906
ADELAIDE,1997,4,2843,87,2930
ADELAIDE,1997,5,2827,90,2917
ADELAIDE,1997,6,2722,80,2802
ADELAIDE,1997,7,2942,84,3026
ADELAIDE,1997,8,2968,83,3051
ADELAIDE,1997,9,2978,80,3058
ADELAIDE,1997,10,3133,84,3217
ADELAIDE,1997,11,2994,83,3077
ADELAIDE,1997,12,2914,81,2995
ADELAIDE,1998,1,2753,81,2834
ADELAIDE,1998,2,2756,75,2831
ADELAIDE,1998,3,3063,85,3148
ADELAIDE,1998,4,2955,82,3037
ADELAIDE,1998,5,2963,86,3049
ADELAIDE,1998,6,2852,78,2930
ADELAIDE,1998,7,3074,86,3160
ADELAIDE,1998,8,3051,92,3143
ADELAIDE,1998,9,3061,89,3150
ADELAIDE,1998,10,3136,90,3226
ADELAIDE,1998,11,3020,90,3110
ADELAIDE,1998,12,2984,91,3075
ADELAIDE,1999,1,2796,89,2885
ADELAIDE,1999,2,2747,82,2829
ADELAIDE,1999,3,3104,87,3191
ADELAIDE,1999,4,2931,88,3019
ADELAIDE,1999,5,2875,90,2965
ADELAIDE,1999,6,2779,77,2856
ADELAIDE,1999,7,2952,72,3024
ADELAIDE,1999,8,2997,80,3077
ADELAIDE,1999,9,2909,76,2985
ADELAIDE,1999,10,3072,81,3153
ADELAIDE,1999,11,2970,71,3041
ADELAIDE,1999,12,2973,75,3048
ADELAIDE,2000,1,2707,75,2782
ADELAIDE,2000,2,2788,71,2859
ADELAIDE,2000,3,3034,77,3111
ADELAIDE,2000,4,2788,85,2873
ADELAIDE,2000,5,2971,81,3052
ADELAIDE,2000,6,2691,82,2773
ADELAIDE,2000,7,2801,86,2887
ADELAIDE,2000,8,2994,83,3077
ADELAIDE,2000,9,2848,82,2930
ADELAIDE,2000,10,3032,85,3117
ADELAIDE,2000,11,3059,83,3142
ADELAIDE,2000,12,2956,84,3040
ADELAIDE,2001,1,2929,83,3012
ADELAIDE,2001,2,2794,72,2866
ADELAIDE,2001,3,3239,78,3317
ADELAIDE,2001,4,3062,80,3142
ADELAIDE,2001,5,3144,76,3220
ADELAIDE,2001,6,3028,76,3104
ADELAIDE,2001,7,3202,79,3281
ADELAIDE,2001,8,3236,80,3316
ADELAIDE,2001,9,2583,76,2659
ADELAIDE,2001,10,2572,78,2650
ADELAIDE,2001,11,2631,76,2707
ADELAIDE,2001,12,2648,83,2731
ADELAIDE,2002,1,2685,79,2764
ADELAIDE,2002,2,2509,72,2581
ADELAIDE,2002,3,2694,81,2775
ADELAIDE,2002,4,2543,73,2616
ADELAIDE,2002,5,2583,74,2657
ADELAIDE,2002,6,2438,74,2512
ADELAIDE,2002,7,2714,75,2789
ADELAIDE,2002,8,2830,76,2906
ADELAIDE,2002,9,2852,75,2927
ADELAIDE,2002,10,2934,75,3009
ADELAIDE,2002,11,2741,65,2806
ADELAIDE,2002,12,2720,64,2784
ADELAIDE,2003,1,2640,63,2703
ADELAIDE,2003,2,2536,56,2592
ADELAIDE,2003,3,2789,63,2852
ADELAIDE,2003,4,2570,73,2643
ADELAIDE,2003,5,2536,77,2613
ADELAIDE,2003,6,2433,76,2509
ADELAIDE,2003,7,2583,83,2666
ADELAIDE,2003,8,2627,85,2712
ADELAIDE,2003,9,2712,81,2793
ADELAIDE,2003,10,2801,80,2881
ADELAIDE,2003,11,2729,74,2803
ADELAIDE,2003,12,2767,74,2841
ADELAIDE,2004,1,2695,75,2770
ADELAIDE,2004,2,2686,71,2757
ADELAIDE,2004,3,2947,83,3030
ADELAIDE,2004,4,2765,79,2844
ADELAIDE,2004,5,2548,84,2632
ADELAIDE,2004,6,2730,82,2812
ADELAIDE,2004,7,2855,85,2940
ADELAIDE,2004,8,2866,84,2950
ADELAIDE,2004,9,2848,84,2932
ADELAIDE,2004,10,2877,87,2964
ADELAIDE,2004,11,2925,84,3009
ADELAIDE,2004,12,2945,97,3042
ADELAIDE,2005,1,2697,97,2794
ADELAIDE,2005,2,2711,93,2804
ADELAIDE,2005,3,2974,100,3074
ADELAIDE,2005,4,2865,96,2961
ADELAIDE,2005,5,2916,102,3018
ADELAIDE,2005,6,2829,99,2928
ADELAIDE,2005,7,2914,103,3017
ADELAIDE,2005,8,3003,101,3104
ADELAIDE,2005,9,2907,90,2997
ADELAIDE,2005,10,2955,102,3057
ADELAIDE,2005,11,2739,95,2834
ADELAIDE,2005,12,2693,92,2785
ADELAIDE,2006,1,2591,93,2684
ADELAIDE,2006,2,2651,83,2734
ADELAIDE,2006,3,3044,97,3141
ADELAIDE,2006,4,2807,122,2929
ADELAIDE,2006,5,3010,122,3132
ADELAIDE,2006,6,2873,131,3004
ADELAIDE,2006,7,2817,136,2953
ADELAIDE,2006,8,2927,135,3062
ADELAIDE,2006,9,2843,124,2967
ADELAIDE,2006,10,2935,128,3063
ADELAIDE,2006,11,2910,123,3033
ADELAIDE,2006,12,2863,128,2991
ADELAIDE,2007,1,2750,125,2875
ADELAIDE,2007,2,2647,117,2764
ADELAIDE,2007,3,3086,128,3214
ADELAIDE,2007,4,2926,122,3048
ADELAIDE,2007,5,3081,128,3209
ADELAIDE,2007,6,2966,124,3090
ADELAIDE,2007,7,3138,126,3264
ADELAIDE,2007,8,3182,119,3301
ADELAIDE,2007,9,2984,118,3102
ADELAIDE,2007,10,3122,128,3250
ADELAIDE,2007,11,2933,137,3070
ADELAIDE,2007,12,2907,150,3057
ADELAIDE,2008,1,2916,146,3062
ADELAIDE,2008,2,2812,131,2943
ADELAIDE,2008,3,2934,142,3076
ADELAIDE,2008,4,2912,136,3048
ADELAIDE,2008,5,3042,138,3180
ADELAIDE,2008,6,2875,132,3007
ADELAIDE,2008,7,2993,139,3132
ADELAIDE,2008,8,2976,136,3112
ADELAIDE,2008,9,2994,134,3128
ADELAIDE,2008,10,3192,134,3326
ADELAIDE,2008,11,3026,143,3169
ADELAIDE,2008,12,3010,151,3161
ADELAIDE,2009,1,2805,152,2957
ADELAIDE,2009,2,2718,133,2851
ADELAIDE,2009,3,3135,147,3282
ADELAIDE,2009,4,3039,142,3181
ADELAIDE,2009,5,2937,143,3080
ADELAIDE,2009,6,2824,146,2970
ADELAIDE,2009,7,2952,147,3099
ADELAIDE,2009,8,2898,141,3039
ADELAIDE,2009,9,2877,148,3025
ADELAIDE,2009,10,2953,157,3110
ADELAIDE,2009,11,2798,151,2949
ADELAIDE,2009,12,2829,153,2982
ADELAIDE,2010,1,2813,155,2968
ADELAIDE,2010,2,2756,133,2889
ADELAIDE,2010,3,3208,144,3352
ADELAIDE,2010,4,3147,139,3286
ADELAIDE,2010,5,3208,134,3342
ADELAIDE,2010,6,3081,130,3211
ADELAIDE,2010,7,3226,135,3361
ADELAIDE,2010,8,3128,134,3262
ADELAIDE,2010,9,3093,132,3225
ADELAIDE,2010,10,3169,137,3306
ADELAIDE,2010,11,3046,132,3178
ADELAIDE,2010,12,3148,137,3285
ADELAIDE,2011,1,2944,137,3081
ADELAIDE,2011,2,2711,121,2832
ADELAIDE,2011,3,3129,137,3266
ADELAIDE,2011,4,2988,144,3132
ADELAIDE,2011,5,3063,147,3210
ADELAIDE,2011,6,2763,134,2897
ADELAIDE,2011,7,2994,146,3140
ADELAIDE,2011,8,3002,142,3144
ADELAIDE,2011,9,2873,144,3017
ADELAIDE,2011,10,2883,152,3035
ADELAIDE,2011,11,2825,150,2975
ADELAIDE,2011,12,2818,173,2991
ADELAIDE,2012,1,2702,175,2877
ADELAIDE,2012,2,2730,145,2875
ADELAIDE,2012,3,2994,155,3149
ADELAIDE,2012,4,2842,151,2993
ADELAIDE,2012,5,2868,155,3023
ADELAIDE,2012,6,2738,155,2893
ADELAIDE,2012,7,3016,174,3190
ADELAIDE,2012,8,3058,168,3226
ADELAIDE,2012,9,2917,171,3088
ADELAIDE,2012,10,3070,176,3246
ADELAIDE,2012,11,3048,194,3242
ADELAIDE,2012,12,2981,207,3188
ADELAIDE,2013,1,2869,207,3076
ADELAIDE,2013,2,2691,193,2884
ADELAIDE,2013,3,3011,211,3222
ADELAIDE,2013,4,3004,194,3198
ADELAIDE,2013,5,3023,179,3202
ADELAIDE,2013,6,2813,174,2987
ADELAIDE,2013,7,3070,195,3265
ADELAIDE,2013,8,3019,179,3198
ADELAIDE,2013,9,3009,191,3200
ADELAIDE,2013,10,3112,192,3304
ADELAIDE,2013,11,2952,201,3153
ADELAIDE,2013,12,2947,241,3188
ADELAIDE,2014,1,2860,251,3111
ADELAIDE,2014,2,2706,215,2921
ADELAIDE,2014,3,3092,233,3325
ADELAIDE,2014,4,3042,236,3278
ADELAIDE,2014,5,3084,232,3316
ADELAIDE,2014,6,2981,232,3213
ADELAIDE,2014,7,3162,239,3401
ADELAIDE,2014,8,3110,224,3334
ADELAIDE,2014,9,3111,195,3306
ADELAIDE,2014,10,3200,206,3406
ADELAIDE,2014,11,2988,193,3181
ADELAIDE,2014,12,3033,224,3257
ADELAIDE,2015,1,2837,224,3061
ADELAIDE,2015,2,2750,175,2925
ADELAIDE,2015,3,3138,181,3319
ADELAIDE,2015,4,3104,180,3284
ADELAIDE,2015,5,3166,182,3348
ADELAIDE,2015,6,3049,176,3225
ADELAIDE,2015,7,3242,173,3415
ADELAIDE,2015,8,3138,165,3303
ADELAIDE,2015,9,3161,171,3332
ADELAIDE,2015,10,3213,178,3391
ADELAIDE,2015,11,3126,146,3272
ADELAIDE,2015,12,3126,194,3320
ADELAIDE,2016,1,2964,202,3166
ADELAIDE,2016,2,3021,166,3187
ADELAIDE,2016,3,3190,171,3361
ADELAIDE,2016,4,3071,172,3243
ADELAIDE,2016,5,3049,198,3247
ADELAIDE,2016,6,2910,191,3101
ADELAIDE,2016,7,3151,217,3368
ADELAIDE,2016,8,3201,195,3396
ADELAIDE,2016,9,3151,194,3345
ADELAIDE,2016,10,3236,208,3444
ADELAIDE,2016,11,3167,193,3360
ADELAIDE,2016,12,3066,229,3295
ADELAIDE,2017,1,2852,221,3073
ADELAIDE,2017,2,2852,176,3028
ADELAIDE,2017,3,3246,193,3439
ADELAIDE,2017,4,2987,184,3171
ADELAIDE,2017,5,3054,183,3237
ADELAIDE,2017,6,2911,178,3089
ADELAIDE,2017,7,3081,212,3293
ADELAIDE,2017,8,3104,209,3313
ADELAIDE,2017,9,3081,204,3285
ADELAIDE,2017,10,3212,205,3417
ADELAIDE,2017,11,3148,182,3330
ADELAIDE,2017,12,3098,233,3331
ADELAIDE,2018,1,3005,259,3264
ADELAIDE,2018,2,2844,188,3032
ADELAIDE,2018,3,3150,198,3348
ADELAIDE,2018,4,2999,198,3197
ADELAIDE,2018,5,3017,186,3203
ADELAIDE,2018,6,2864,187,3051
ADELAIDE,2018,7,3146,208,3354
ADELAIDE,2018,8,3120,202,3322
ADELAIDE,2018,9,3046,201,3247
ADELAIDE,2018,10,3236,213,3449
ADELAIDE,2018,11,3114,215,3329
ADELAIDE,2018,12,3009,230,3239
ADELAIDE,2019,1,3000,237,3237
ADELAIDE,2019,2,2868,199,3067
ADELAIDE,2019,3,3187,206,3393
ADELAIDE,2019,4,3056,211,3267
ADELAIDE,2019,5,3141,205,3346
ADELAIDE,2019,6,2948,214,3162
ADELAIDE,2019,7,3210,249,3459
ADELAIDE,2019,8,3102,233,3335
ADELAIDE,2019,9,3067,238,3305
ADELAIDE,2019,10,3228,241,3469
ADELAIDE,2019,11,3053,222,3275
ADELAIDE,2019,12,2995,267,3262
ADELAIDE,2020,1,2851,281,3132
ADELAIDE,2020,2,2831,200,3031
ADELAIDE,2020,3,2527,137,2664
ADELAIDE,2020,4,414,0,414
ADELAIDE,2020,5,418,4,422
ADELAIDE,2020,6,471,13,484
ADELAIDE,2020,7,685,15,700
ADELAIDE,2020,8,762,21,783
ADELAIDE,2020,9,893,23,916
ADELAIDE,2020,10,1169,26,1195
ADELAIDE,2020,11,1158,32,1190
ADELAIDE,2020,12,1528,37,1565
ADELAIDE,2021,1,1499,38,1537
ADELAIDE,2021,2,1412,35,1447
ADELAIDE,2021,3,2045,39,2084
ADELAIDE,2021,4,2385,38,2423
ADELAIDE,2021,5,2470,48,2518
ADELAIDE,2021,6,2068,47,2115
ADELAIDE,2021,7,1479,47,1526
ADELAIDE,2021,8,1070,36,1106
ADELAIDE,2021,9,1364,35,1399
ADELAIDE,2021,10,1489,39,1528
ADELAIDE,2021,11,1755,36,1791
ADELAIDE,2021,12,2405,51,2456
ADELAIDE,2022,1,1912,71,1983
ADELAIDE,2022,2,1733,65,1798
ADELAIDE,2022,3,2468,72,2540
ADELAIDE,2022,4,2793,75,2868
ADELAIDE,2022,5,2845,95,2940
ADELAIDE,2022,6,2752,105,2857
ADELAIDE,2022,7,2757,150,2907
ADELAIDE,2022,8,2756,138,2894
ADELAIDE,2022,9,2662,128,2790
ADELAIDE,2022,10,2808,134,2942
ADELAIDE,2022,11,2746,147,2893
ADELAIDE,2022,12,2859,206,3065
ADELAIDE,2023,1,2861,239,3100
ADELAIDE,2023,2,2677,193,2870
ADELAIDE,2023,3,3050,221,3271
ADELAIDE,2023,4,2970,257,3227
ADELAIDE,2023,5,3078,216,3294
ADELAIDE,2023,6,2861,219,3080
ADELAIDE,2023,7,2954,275,3229
ADELAIDE,2023,8,2984,230,3214
ADELAIDE,2023,9,2928,212,3140
ADELAIDE,2023,10,3077,230,3307
ADELAIDE,2023,11,2958,194,3152
ADELAIDE,2023,12,2953,288,3241
ADELAIDE,2024,1,2937,312,3249
ADELAIDE,2024,2,2813,199,3012
ADELAIDE,2024,3,2964,206,3170
ADELAIDE,2024,4,3078,233,3311
ADELAIDE,2024,5,3035,199,3234
ADELAIDE,2024,6,2830,203,3033
ADELAIDE,2024,7,3077,227,3304
ADELAIDE,2024,8,2890,181,3071
ADELAIDE,2024,9,2880,181,3061
ADELAIDE,2024,10,2988,201,3189
ADELAIDE,2024,11,2811,220,3031
ADELAIDE,2024,12,2885,235,3120
ADELAIDE,2025,1,2814,252,3066
ADELAIDE,2025,2,2589,219,2808
ADELAIDE,2025,3,2835,235,3070
ADELAIDE,2025,4,2859,249,3108
ADELAIDE,2025,5,2778,258,3036
ADELAIDE,2025,6,2722,245,2967
ALICE SPRINGS,1985,1,261,0,261
ALICE SPRINGS,1985,2,237,0,237
ALICE SPRINGS,1985,3,281,0,281
ALICE SPRINGS,1985,4,258,0,258
ALICE SPRINGS,1985,5,294,0,294
ALICE SPRINGS,1985,6,284,0,284
ALICE SPRINGS,1985,7,299,0,299
ALICE SPRINGS,1985,8,325,0,325
ALICE SPRINGS,1985,9,312,0,312
ALICE SPRINGS,1985,10,310,0,310
ALICE SPRINGS,1985,11,317,0,317
ALICE SPRINGS,1985,12,294,0,294
ALICE SPRINGS,1986,1,301,0,301
ALICE SPRINGS,1986,2,272,0,272
ALICE SPRINGS,1986,3,356,0,356
ALICE SPRINGS,1986,4,367,0,367
ALICE SPRINGS,1986,5,329,0,329
ALICE SPRINGS,1986,6,304,0,304
ALICE SPRINGS,1986,7,323,0,323
ALICE SPRINGS,1986,8,355,0,355
ALICE SPRINGS,1986,9,336,0,336
ALICE SPRINGS,1986,10,389,0,389
ALICE SPRINGS,1986,11,387,0,387
ALICE SPRINGS,1986,12,378,0,378
ALICE SPRINGS,1987,1,445,0,445
ALICE SPRINGS,1987,2,386,0,386
ALICE SPRINGS,1987,3,393,0,393
ALICE SPRINGS,1987,4,372,0,372
ALICE SPRINGS,1987,5,390,0,390
ALICE SPRINGS,1987,6,406,0,406
ALICE SPRINGS,1987,7,448,0,448
ALICE SPRINGS,1987,8,431,0,431
ALICE SPRINGS,1987,9,443,0,443
ALICE SPRINGS,1987,10,488,0,488
ALICE SPRINGS,1987,11,452,0,452
ALICE SPRINGS,1987,12,409,0,409
ALICE SPRINGS,1988,1,410,0,410
ALICE SPRINGS,1988,2,356,0,356
ALICE SPRINGS,1988,3,399,0,399
ALICE SPRINGS,1988,4,398,0,398
ALICE SPRINGS,1988,5,381,0,381
ALICE SPRINGS,1988,6,372,0,372
ALICE SPRINGS,1988,7,429,0,429
ALICE SPRINGS,1988,8,421,0,421
ALICE SPRINGS,1988,9,404,0,404
ALICE SPRINGS,1988,10,437,0,437
ALICE SPRINGS,1988,11,419,0,419
ALICE SPRINGS,1988,12,393,0,393
ALICE SPRINGS,1989,1,397,0,397
ALICE SPRINGS,1989,2,348,0,348
ALICE SPRINGS,1989,3,397,0,397
ALICE SPRINGS,1989,4,398,0,398
ALICE SPRINGS,1989,5,387,0,387
ALICE SPRINGS,1989,6,368,0,368
ALICE SPRINGS,1989,7,431,0,431
ALICE SPRINGS,1989,8,276,0,276
ALICE SPRINGS,1989,9,13,0,13
ALICE SPRINGS,1989,10,50,0,50
ALICE SPRINGS,1989,11,111,0,111
ALICE SPRINGS,1989,12,180,0,180
ALICE SPRINGS,1990,1,227,0,227
ALICE SPRINGS,1990,2,251,0,251
ALICE SPRINGS,1990,3,354,0,354
ALICE SPRINGS,1990,4,368,0,368
ALICE SPRINGS,1990,5,388,0,388
ALICE SPRINGS,1990,6,371,0,371
ALICE SPRINGS,1990,7,410,0,410
ALICE SPRINGS,1990,8,395,0,395
ALICE SPRINGS,1990,9,378,0,378
ALICE SPRINGS,1990,10,464,0,464
ALICE SPRINGS,1990,11,483,0,483
ALICE SPRINGS,1990,12,455,0,455
ALICE SPRINGS,1991,1,437,0,437
ALICE SPRINGS,1991,2,397,0,397
ALICE SPRINGS,1991,3,413,0,413
ALICE SPRINGS,1991,4,364,0,364
ALICE SPRINGS,1991,5,381,0,381
ALICE SPRINGS,1991,6,381,0,381
ALICE SPRINGS,1991,7,429,0,429
ALICE SPRINGS,1991,8,451,0,451
ALICE SPRINGS,1991,9,441,0,441
ALICE SPRINGS,1991,10,461,0,461
ALICE SPRINGS,1991,11,462,0,462
ALICE SPRINGS,1991,12,439,0,439
ALICE SPRINGS,1992,1,442,0,442
ALICE SPRINGS,1992,2,391,0,391
ALICE SPRINGS,1992,3,434,0,434
ALICE SPRINGS,1992,4,422,0,422
ALICE SPRINGS,1992,5,430,0,430
ALICE SPRINGS,1992,6,407,0,407
ALICE SPRINGS,1992,7,456,0,456
ALICE SPRINGS,1992,8,459,0,459
ALICE SPRINGS,1992,9,437,0,437
ALICE SPRINGS,1992,10,489,0,489
ALICE SPRINGS,1992,11,478,0,478
ALICE SPRINGS,1992,12,480,0,480
ALICE SPRINGS,1993,1,464,0,464
ALICE SPRINGS,1993,2,446,0,446
ALICE SPRINGS,1993,3,500,0,500
ALICE SPRINGS,1993,4,474,0,474
ALICE SPRINGS,1993,5,483,0,483
ALICE SPRINGS,1993,6,494,0,494
ALICE SPRINGS,1993,7,530,0,530
ALICE SPRINGS,1993,8,528,0,528
ALICE SPRINGS,1993,9,503,0,503
ALICE SPRINGS,1993,10,548,0,548
ALICE SPRINGS,1993,11,525,0,525
ALICE SPRINGS,1993,12,538,0,538
ALICE SPRINGS,1994,1,546,0,546
ALICE SPRINGS,1994,2,468,0,468
ALICE SPRINGS,1994,3,525,0,525
ALICE SPRINGS,1994,4,515,0,515
ALICE SPRINGS,1994,5,527,0,527
ALICE SPRINGS,1994,6,549,0,549
ALICE SPRINGS,1994,7,602,0,602
ALICE SPRINGS,1994,8,581,0,581
ALICE SPRINGS,1994,9,567,0,567
ALICE SPRINGS,1994,10,609,0,609
ALICE SPRINGS,1994,11,590,0,590
ALICE SPRINGS,1994,12,609,0,609
ALICE SPRINGS,1995,1,597,0,597
ALICE SPRINGS,1995,2,534,0,534
ALICE SPRINGS,1995,3,590,0,590
ALICE SPRINGS,1995,4,568,0,568
ALICE SPRINGS,1995,5,565,0,565
ALICE SPRINGS,1995,6,550,0,550
ALICE SPRINGS,1995,7,594,0,594
ALICE SPRINGS,1995,8,584,0,584
ALICE SPRINGS,1995,9,574,0,574
ALICE SPRINGS,1995,10,593,0,593
ALICE SPRINGS,1995,11,518,0,518
ALICE SPRINGS,1995,12,546,0,546
ALICE SPRINGS,1996,1,529,0,529
ALICE SPRINGS,1996,2,502,0,502
ALICE SPRINGS,1996,3,538,0,538
ALICE SPRINGS,1996,4,519,0,519
ALICE SPRINGS,1996,5,535,0,535
ALICE SPRINGS,1996,6,528,0,528
ALICE SPRINGS,1996,7,547,0,547
ALICE SPRINGS,1996,8,544,0,544
ALICE SPRINGS,1996,9,528,0,528
ALICE SPRINGS,1996,10,612,0,612
ALICE SPRINGS,1996,11,552,0,552
ALICE SPRINGS,1996,12,570,0,570
ALICE SPRINGS,1997,1,566,0,566
ALICE SPRINGS,1997,2,509,0,509
ALICE SPRINGS,1997,3,553,0,553
ALICE SPRINGS,1997,4,532,0,532
ALICE SPRINGS,1997,5,555,0,555
ALICE SPRINGS,1997,6,536,0,536
ALICE SPRINGS,1997,7,558,0,558
ALICE SPRINGS,1997,8,567,0,567
ALICE SPRINGS,1997,9,541,0,541
ALICE SPRINGS,1997,10,570,0,570
ALICE SPRINGS,1997,11,569,0,569
ALICE SPRINGS,1997,12,572,0,572
ALICE SPRINGS,1998,1,568,0,568
ALICE SPRINGS,1998,2,500,0,500
ALICE SPRINGS,1998,3,560,0,560
ALICE SPRINGS,1998,4,532,0,532
ALICE SPRINGS,1998,5,552,0,552
ALICE SPRINGS,1998,6,535,0,535
ALICE SPRINGS,1998,7,553,0,553
ALICE SPRINGS,1998,8,558,0,558
ALICE SPRINGS,1998,9,537,0,537
ALICE SPRINGS,1998,10,557,0,557
ALICE SPRINGS,1998,11,536,0,536
ALICE SPRINGS,1998,12,517,0,517
ALICE SPRINGS,1999,1,499,0,499
ALICE SPRINGS,1999,2,485,0,485
ALICE SPRINGS,1999,3,535,0,535
