CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1996-08,110210
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1996-09,96940
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1996-10,105910
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1996-11,114090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1996-12,116780
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-01,102300
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-02,122090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-03,123840
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-04,118380
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-05,118260
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-06,103910
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-07,117060
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-08,109860
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-09,109570
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-10,113350
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-11,123120
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1997-12,101510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-01,92330
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-02,100150
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-03,101320
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-04,104420
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-05,105070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-06,101220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-07,90350
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-08,92760
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-09,93940
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-10,96090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-11,101460
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1998-12,92100
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-01,87510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-02,106200
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-03,107060
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-04,99200
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-05,102240
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-06,97940
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-07,85290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-08,106520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-09,102720
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-10,105260
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-11,121650
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,1999-12,95500
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-01,95070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-02,120950
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-03,128710
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-04,113080
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-05,113480
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-06,106000
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-07,102460
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-08,105550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-09,93820
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-10,113720
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-11,137490
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2000-12,115150
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-01,107100
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-02,114340
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-03,126370
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-04,114800
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-05,112870
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-06,109970
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-07,96470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-08,116170
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-09,96840
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-10,94770
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-11,101390
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2001-12,109760
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-01,98260
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-02,117420
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-03,126360
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-04,113180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-05,117800
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-06,98170
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-07,95710
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-08,112760
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-09,102350
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-10,122310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-11,133220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2002-12,120330
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-01,106500
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-02,120510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-03,117990
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-04,81240
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-05,84680
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-06,84040
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-07,97790
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-08,107440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-09,110600
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-10,130440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-11,149870
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2003-12,128850
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-01,115470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-02,128730
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-03,139180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-04,120310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-05,127080
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-06,118550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-07,114520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-08,131860
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-09,125790
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-10,145320
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-11,167640
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2004-12,140570
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-01,141280
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-02,153930
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-03,166940
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-04,140520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-05,136320
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-06,136420
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-07,133080
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-08,148440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-09,138800
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-10,156930
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-11,173550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2005-12,145290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-01,138660
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-02,151700
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-03,169440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-04,142390
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-05,138410
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-06,132980
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-07,122850
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-08,142470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-09,139650
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-10,162730
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-11,174220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2006-12,155160
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-01,132970
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-02,157290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-03,174360
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-04,146460
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-05,146560
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-06,135110
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-07,132180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-08,154070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-09,140550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-10,162490
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-11,184340
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2007-12,154790
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-01,129860
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-02,172950
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-03,169830
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-04,149700
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-05,148820
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-06,126270
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-07,130390
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-08,141650
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-09,124310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-10,145400
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-11,158750
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2008-12,132560
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-01,110310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-02,139300
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-03,151330
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-04,136290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-05,126310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-06,102470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-07,107720
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-08,127730
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-09,128100
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-10,143330
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-11,153600
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2009-12,134180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-01,114440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-02,155160
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-03,161950
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-04,141480
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-05,138840
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-06,127620
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-07,129670
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-08,147630
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-09,145090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-10,158180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-11,178980
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2010-12,150920
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-01,128050
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-02,162300
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-03,161450
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-04,132890
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-05,137270
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-06,128780
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-07,129320
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-08,151580
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-09,140230
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-10,159040
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-11,178160
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2011-12,144990
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-01,126780
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-02,158570
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-03,172420
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-04,144480
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-05,144460
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-06,127890
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-07,125490
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-08,156600
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-09,140270
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-10,167670
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-11,187190
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2012-12,151630
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-01,131110
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-02,175720
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-03,183410
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-04,154270
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-05,155750
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-06,135380
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-07,138300
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-08,170020
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-09,151590
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-10,176070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-11,186360
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2013-12,164520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-01,147930
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-02,187490
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-03,200990
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-04,155850
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-05,172510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-06,142070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-07,148230
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-08,172020
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-09,160240
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-10,189080
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-11,205190
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2014-12,167050
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-01,142810
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-02,192820
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-03,208360
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-04,176170
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-05,182520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-06,154100
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-07,163220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-08,182560
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-09,170600
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-10,199690
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-11,224070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2015-12,195350
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-01,158070
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-02,218110
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-03,229710
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-04,199090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-05,195080
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-06,169060
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-07,173390
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-08,197580
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-09,192440
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-10,213430
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-11,240900
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2016-12,204550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-01,178560
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-02,213520
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-03,250660
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-04,205580
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-05,199700
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-06,186630
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-07,175210
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-08,217050
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-09,194900
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-10,225030
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-11,248430
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2017-12,197550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-01,165320
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-02,221620
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-03,253710
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-04,196060
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-05,207600
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-06,188770
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-07,173870
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-08,224220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-09,192420
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-10,227730
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-11,249840
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2018-12,202470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-01,169170
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-02,229510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-03,256490
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-04,193700
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-05,215050
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-06,185750
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-07,174950
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-08,230550
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-09,196470
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-10,237620
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-11,254090
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2019-12,218240
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-01,176220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-02,184670
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-03,79230
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-04,840
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-05,1570
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-06,2240
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-07,880
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-08,690
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-09,500
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-10,660
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-11,650
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2020-12,450
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-01,540
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-02,460
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-03,500
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-04,5640
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-05,10870
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-06,9430
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-07,2590
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-08,1020
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-09,290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-10,330
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-11,1210
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2021-12,1900
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-01,2290
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-02,3860
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-03,15860
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-04,25310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-05,41250
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-06,46850
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-07,55410
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-08,73220
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-09,71590
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-10,90740
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-11,113630
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2022-12,84260
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-01,83900
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-02,132020
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-03,148180
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-04,117150
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-05,131140
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-06,122310
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-07,133100
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-08,156690
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-09,136760
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-10,157410
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-11,176580
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2023-12,140230
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-01,125820
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-02,204980
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-03,197670
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-04,151920
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-05,169510
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-06,141390
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-07,138940
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-08,175730
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-09,156640
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-10,189760
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-11,186880
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2024-12,156530
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-01,147830
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-02,181020
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-03,191530
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-04,155970
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-05,168950
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-06,150610
6,Short-term (less than one year) Visitors arriving,Under 1 week,Total,2025-07,154420
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-07,5230
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-08,8350
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-09,6710
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-10,7640
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-11,8690
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1975-12,6900
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-01,6530
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-02,8100
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-03,7960
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-04,6350
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-05,6840
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-06,4340
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-07,5010
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-08,8530
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-09,5510
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-10,9750
6,Short-term (less than one year) Visitors arriving,1 and under 2 weeks,Total,1976-11,7260
